                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0526,                 3.5445,                 4.2928,                0.00412,                0.94534,                0.03087,                0.01108,                 2.7717,                 3.5004,                 4.1307,                 0.0838,                 0.0018,                 0.0018
                      1,                 2.9889,                   3.47,                  4.228,                0.00415,                0.94212,                0.04078,                0.01467,                 2.7567,                  3.508,                 4.1102,               0.066578,              0.0035779,              0.0035779
                      2,                 3.0477,                 3.4051,                 4.1567,                0.00416,                0.94534,                 0.0402,                0.01437,                 2.7373,                  3.513,                 4.0836,                0.04923,              0.0052304,              0.0052304
                      3,                 3.0505,                 3.3585,                 4.1227,                0.00416,                0.94855,                0.07343,                0.02261,                   2.71,                 3.4943,                 4.0572,               0.031758,              0.0067575,              0.0067575
                      4,                 3.0388,                 3.2321,                 4.0598,                0.00409,                0.94855,                0.04245,                0.01514,                 2.6928,                 3.4449,                 4.0409,               0.014159,              0.0081592,              0.0081592
                      5,                 2.9963,                 3.1339,                 3.9814,                0.00393,                0.94534,                0.06239,                0.02137,                 2.6907,                 3.3903,                 4.0568,                0.00835,                0.00835,                0.00835
                      6,                 2.9133,                 2.9785,                 3.8439,                0.06146,                0.08682,                0.03031,                0.00992,                 2.6205,                  4.037,                 4.2866,                0.00835,                0.00835,                0.00835
                      7,                 2.9206,                 2.8854,                 3.7283,                0.01289,                0.64952,                0.01672,                 0.0051,                 2.7939,                 104.09,                 7.2301,                0.00802,                0.00802,                0.00802
                      8,                 2.7337,                 2.7637,                 3.6143,                0.15686,                0.24437,                 0.0866,                0.02197,                 2.8395,                 4.4932,                 9.0462,                0.00769,                0.00769,                0.00769
                      9,                 2.7846,                  2.657,                  3.514,                0.11308,                0.25723,                0.07555,                0.02144,                 2.7105,                 9.1319,                 4.5102,                0.00736,                0.00736,                0.00736
                     10,                 2.6908,                 2.5708,                 3.4137,                0.17245,                0.22186,                0.11547,                0.02974,                 2.7096,                 4.6193,                 3.9378,                0.00703,                0.00703,                0.00703
                     11,                 2.6165,                 2.4551,                 3.3416,                0.19198,                0.24437,                0.12498,                0.03305,                 2.6711,                 3.0026,                 3.9693,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.5306,                 2.4009,                 3.2273,                0.05133,                0.09003,                 0.0359,                0.01069,                 2.7231,                 3.3586,                  3.834,                0.00637,                0.00637,                0.00637
                     13,                 2.4423,                 2.2797,                 3.1897,                0.13614,                0.20257,                0.08133,                0.02269,                 2.5901,                 2.8566,                 3.7495,                0.00604,                0.00604,                0.00604
                     14,                  2.425,                 2.2777,                  3.138,                0.35322,                0.51768,                0.33253,                0.11591,                 2.2542,                 2.6004,                 3.1262,                0.00571,                0.00571,                0.00571
                     15,                 2.3522,                 2.1835,                 3.0883,                0.15049,                0.18006,                0.11859,                0.03696,                 2.2639,                 3.4412,                  3.167,                0.00538,                0.00538,                0.00538
                     16,                 2.3007,                 2.1797,                  3.047,                0.35648,                0.46945,                0.35545,                0.13511,                 2.2004,                 2.9042,                 2.9684,                0.00505,                0.00505,                0.00505
                     17,                 2.2691,                 2.0482,                 2.9488,                0.14418,                0.23473,                0.12893,                0.03682,                 2.3835,                 2.8915,                 3.2039,                0.00472,                0.00472,                0.00472
                     18,                 2.2386,                 2.1751,                 2.9455,                0.34886,                0.43087,                0.32829,                 0.0967,                 2.3834,                 3.0195,                 3.1578,                0.00439,                0.00439,                0.00439
                     19,                 2.2494,                 2.0904,                 2.9049,                0.18642,                0.23473,                0.11733,                0.03594,                 2.3988,                 2.8727,                 3.2595,                0.00406,                0.00406,                0.00406
                     20,                 2.0445,                 2.2351,                 2.9189,                0.51708,                0.41158,                0.48947,                0.24726,                 1.9932,                  2.036,                 2.8489,                0.00373,                0.00373,                0.00373
                     21,                 1.9655,                 1.9707,                 2.8949,                0.56011,                0.42444,                  0.515,                0.22007,                 2.0821,                 2.4023,                 2.9693,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.9451,                 1.9341,                  2.849,                0.54545,                0.61734,                0.59523,                0.25135,                 2.1015,                 1.9011,                 2.8716,                0.00307,                0.00307,                0.00307
                     23,                 1.8612,                 1.8323,                 2.7923,                0.66633,                0.58432,                0.65131,                0.31642,                 1.8666,                 1.8908,                 2.6916,                0.00274,                0.00274,                0.00274
                     24,                 1.8791,                 1.7168,                 2.7852,                0.64936,                0.61415,                0.67863,                0.35285,                 1.8326,                 1.7691,                 2.6551,                0.00241,                0.00241,                0.00241
                     25,                 1.8252,                 1.6733,                 2.6848,                0.58421,                0.63249,                0.62241,                0.25978,                 1.9568,                 1.8739,                 2.8015,                0.00208,                0.00208,                0.00208
                     26,                 1.7705,                 1.6699,                 2.6818,                0.80182,                0.78056,                0.83218,                0.45471,                 1.6503,                 1.5726,                  2.502,                0.00175,                0.00175,                0.00175
                     27,                 1.7466,                 1.6179,                 2.6293,                0.72768,                 0.7299,                0.79633,                0.37288,                 1.7885,                 1.6896,                 2.6541,                0.00142,                0.00142,                0.00142
                     28,                 1.7374,                  1.634,                 2.5963,                0.77629,                0.67846,                0.78828,                0.40628,                 1.7528,                 1.6747,                 2.6127,                0.00109,                0.00109,                0.00109
                     29,                 1.6987,                  1.574,                 2.5629,                0.81037,                 0.7074,                 0.8228,                0.48058,                 1.6311,                 1.5877,                 2.4922,                0.00076,                0.00076,                0.00076
