                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1216,                 3.7723,                 4.3231,                0.00306,                0.92521,                0.02435,                0.00795,                 2.7746,                 3.8094,                 4.1277,                 0.0748,                 0.0028,                 0.0028
                      1,                 3.0118,                 3.6164,                 4.1931,                 0.0031,                0.93075,                0.05197,                0.01581,                 2.7545,                 3.7601,                  4.099,               0.048644,              0.0056436,              0.0056436
                      2,                 3.0421,                 3.5956,                 4.1228,                0.00303,                0.92521,                0.07227,                0.02033,                 2.7302,                 3.7485,                 4.0662,                0.02243,              0.0084297,              0.0084297
                      3,                 3.0207,                 3.4798,                 4.0566,                0.00332,                0.82825,                 0.0243,                0.00669,                 2.8842,                 3.9384,                 5.0631,               0.009703,               0.009703,               0.009703
                      4,                 3.0704,                 3.2486,                 3.9332,                0.00881,                0.25485,                0.01127,                0.00401,                 2.7074,                 42.317,                 4.5997,               0.009703,               0.009703,               0.009703
                      5,                 2.9114,                 3.0283,                 3.7204,                0.04222,                0.04432,                0.02104,                0.00658,                 2.9305,                 4.0629,                 9.1448,               0.009604,               0.009604,               0.009604
                      6,                 2.8488,                 2.9648,                  3.592,                0.00393,                0.31856,                0.00293,                0.00096,                 3.0956,                 529.75,                 9.6663,               0.009505,               0.009505,               0.009505
                      7,                 2.7069,                 2.7917,                 3.4224,                0.18736,                0.19114,                0.11336,                0.02775,                 3.0039,                 3.1334,                 7.0124,               0.009406,               0.009406,               0.009406
                      8,                 2.6468,                 2.6453,                 3.3048,                 0.1827,                0.28809,                0.15135,                0.03671,                 2.9965,                 2.4459,                 4.7508,               0.009307,               0.009307,               0.009307
                      9,                 2.5525,                 2.5582,                 3.2344,                0.25772,                0.38504,                0.21574,                0.06754,                 2.7045,                 3.0416,                  3.902,               0.009208,               0.009208,               0.009208
                     10,                 2.4997,                 2.5228,                 3.1572,                0.26438,                0.57064,                0.24595,                0.07969,                  2.451,                  4.046,                 3.4079,               0.009109,               0.009109,               0.009109
                     11,                 2.3964,                 2.4168,                 3.0939,                0.17932,                0.44044,                0.15448,                0.05735,                 2.2747,                 11.507,                 3.3093,                0.00901,                0.00901,                0.00901
                     12,                 2.3506,                 2.3525,                 3.0071,                0.36626,                0.47548,                0.35238,                0.14205,                 2.1688,                 3.3131,                 3.0949,               0.008911,               0.008911,               0.008911
                     13,                 2.2988,                 2.3238,                 2.9471,                0.47271,                0.51801,                0.48654,                0.20783,                 2.0335,                 2.7939,                  2.876,               0.008812,               0.008812,               0.008812
                     14,                 2.2818,                 2.2559,                 2.9266,                0.29158,                0.43326,                0.25466,                0.10041,                 2.1478,                  3.428,                  3.015,               0.008713,               0.008713,               0.008713
                     15,                 2.2265,                 2.2626,                  2.847,                0.47632,                0.51801,                0.41035,                0.15537,                 2.0805,                 2.3991,                 2.8924,               0.008614,               0.008614,               0.008614
                     16,                 2.1003,                 2.1219,                 2.7919,                0.34976,                0.46814,                 0.3352,                0.12576,                 2.0135,                 2.8786,                 2.8136,               0.008515,               0.008515,               0.008515
                     17,                 2.1583,                 2.1044,                 2.8127,                0.25048,                0.45983,                0.27226,                0.09258,                 2.1826,                 2.5813,                 2.9888,               0.008416,               0.008416,               0.008416
                     18,                 2.0425,                 1.9992,                 2.6979,                0.21974,                0.49861,                0.27968,                0.10099,                 2.0727,                 2.9286,                 2.9019,               0.008317,               0.008317,               0.008317
                     19,                 1.9861,                 1.9023,                 2.6536,                0.57712,                0.67036,                0.63619,                0.28312,                 1.8322,                 2.6408,                 2.6023,               0.008218,               0.008218,               0.008218
                     20,                 1.9883,                 1.9763,                  2.615,                0.62092,                0.61708,                0.61358,                0.26243,                 1.7832,                 2.0851,                 2.5321,               0.008119,               0.008119,               0.008119
                     21,                 1.8769,                 1.9174,                 2.5209,                0.63957,                0.58172,                0.62912,                0.30891,                 1.6925,                 1.9631,                 2.5231,                0.00802,                0.00802,                0.00802
                     22,                 1.8848,                  1.834,                 2.5082,                0.49612,                0.60388,                0.55721,                0.26276,                 1.7265,                 1.8963,                  2.502,               0.007921,               0.007921,               0.007921
                     23,                 1.8507,                 1.8284,                 2.4723,                0.61034,                0.63348,                0.62035,                0.30685,                 1.6282,                 2.0001,                 2.3811,               0.007822,               0.007822,               0.007822
                     24,                 1.8076,                 1.6929,                 2.4227,                0.76395,                0.69928,                0.76106,                0.40797,                 1.6231,                 1.7596,                  2.276,               0.007723,               0.007723,               0.007723
                     25,                 1.7749,                 1.7387,                 2.4115,                0.58132,                0.58726,                0.54859,                0.25103,                 1.7965,                 2.6781,                 2.6019,               0.007624,               0.007624,               0.007624
                     26,                 1.7606,                 1.6307,                 2.3327,                0.60245,                0.57618,                0.49357,                 0.2295,                 2.0138,                 2.2884,                 2.7508,               0.007525,               0.007525,               0.007525
                     27,                 1.7258,                 1.6903,                 2.3047,                0.74781,                0.68175,                0.73491,                0.35716,                 1.6966,                  1.552,                 2.3579,               0.007426,               0.007426,               0.007426
                     28,                 1.6793,                 1.6344,                 2.2641,                0.71567,                0.65097,                0.68605,                0.39693,                 1.5542,                 1.7308,                 2.2782,               0.007327,               0.007327,               0.007327
                     29,                 1.6798,                  1.603,                 2.2723,                0.75769,                0.70161,                0.78643,                 0.4389,                 1.5014,                 1.5226,                 2.1724,               0.007228,               0.007228,               0.007228
                     30,                 1.6839,                 1.5952,                 2.2857,                0.66875,                0.60111,                0.65421,                0.34645,                 1.5544,                 1.7559,                 2.2181,               0.007129,               0.007129,               0.007129
                     31,                 1.6451,                 1.5708,                 2.2135,                0.68491,                0.69252,                0.73959,                0.40918,                 1.4845,                 1.7243,                 2.1465,                0.00703,                0.00703,                0.00703
                     32,                 1.5872,                 1.4522,                 2.1597,                0.66501,                 0.7036,                0.69124,                0.36327,                 1.5385,                  1.694,                 2.2562,               0.006931,               0.006931,               0.006931
                     33,                 1.5704,                 1.4589,                 2.1704,                0.81555,                0.68588,                0.77667,                0.44007,                 1.4183,                 1.4743,                 2.1121,               0.006832,               0.006832,               0.006832
                     34,                 1.6198,                 1.5204,                 2.2062,                0.76493,                0.71191,                0.78501,                0.45666,                 1.4263,                 1.3876,                  2.112,               0.006733,               0.006733,               0.006733
                     35,                 1.5379,                 1.4767,                 2.1154,                0.69196,                0.65374,                0.69061,                0.36259,                 1.5879,                 1.6216,                 2.2658,               0.006634,               0.006634,               0.006634
                     36,                 1.5634,                 1.4453,                 2.1356,                0.78663,                 0.7313,                0.81943,                0.50514,                 1.3538,                 1.4209,                 2.0215,               0.006535,               0.006535,               0.006535
                     37,                 1.5704,                 1.4538,                 2.1259,                0.77992,                0.75346,                0.80443,                0.51425,                 1.2971,                 1.4217,                  1.959,               0.006436,               0.006436,               0.006436
                     38,                 1.5313,                 1.4602,                 2.0707,                0.83761,                0.78583,                0.85208,                0.54348,                 1.2715,                 1.2275,                  1.942,               0.006337,               0.006337,               0.006337
                     39,                 1.5053,                 1.4234,                  2.098,                0.80673,                0.79224,                0.84584,                0.51381,                 1.3957,                 1.3106,                 2.0362,               0.006238,               0.006238,               0.006238
                     40,                 1.4687,                 1.3858,                 2.0482,                0.83137,                0.74515,                 0.8444,                0.50784,                 1.3601,                 1.2461,                 1.9991,               0.006139,               0.006139,               0.006139
                     41,                 1.4469,                 1.3484,                  2.007,                0.82873,                0.76402,                0.85364,                0.55569,                 1.2478,                 1.1512,                 1.8997,                0.00604,                0.00604,                0.00604
                     42,                  1.478,                 1.3742,                 2.0293,                 0.8589,                0.80609,                 0.8762,                0.57191,                  1.245,                 1.1863,                  1.899,               0.005941,               0.005941,               0.005941
                     43,                 1.4009,                 1.3613,                 1.9948,                0.67712,                0.63435,                0.69323,                0.37711,                 1.5168,                 1.6353,                 2.1575,               0.005842,               0.005842,               0.005842
                     44,                 1.4456,                 1.3542,                   2.04,                0.90323,                 0.8015,                0.88852,                0.58634,                 1.2272,                 1.1627,                 1.8868,               0.005743,               0.005743,               0.005743
                     45,                 1.4165,                 1.3352,                 1.9846,                0.77133,                0.69252,                0.76549,                0.45989,                 1.3347,                 1.3897,                 1.9957,               0.005644,               0.005644,               0.005644
                     46,                 1.3855,                 1.3603,                 1.9611,                0.82329,                0.73961,                 0.8291,                0.50984,                 1.2912,                 1.2618,                 1.9609,               0.005545,               0.005545,               0.005545
                     47,                 1.3917,                 1.2882,                 1.9827,                0.84101,                0.75346,                 0.8542,                0.55821,                 1.2292,                 1.1924,                 1.8862,               0.005446,               0.005446,               0.005446
                     48,                  1.417,                 1.2915,                 1.9844,                0.88373,                0.82114,                0.89237,                0.60613,                  1.136,                 1.0701,                 1.7931,               0.005347,               0.005347,               0.005347
                     49,                  1.322,                 1.2375,                 1.9108,                0.88424,                0.82521,                0.90629,                0.62411,                 1.1206,                 1.0038,                 1.7652,               0.005248,               0.005248,               0.005248
                     50,                 1.4091,                 1.2972,                 1.9669,                0.88303,                0.81558,                0.89981,                0.63214,                 1.1106,                  1.055,                 1.7729,               0.005149,               0.005149,               0.005149
