                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 1.3632,                 1.2735,                 1.9408,                0.89018,                 0.8338,                0.90284,                0.62228,                 1.1269,                 1.0433,                 1.7718,                0.00505,                0.00505,                0.00505
                     52,                    1.3,                 1.2091,                 1.8984,                0.84559,                0.84765,                 0.8995,                0.62441,                 1.1122,                0.98297,                 1.7632,               0.004951,               0.004951,               0.004951
                     53,                 1.2909,                 1.1916,                 1.8721,                0.84553,                 0.8144,                0.87178,                0.58997,                 1.1469,                 1.1164,                 1.8075,               0.004852,               0.004852,               0.004852
                     54,                 1.3338,                 1.2525,                 1.9101,                0.83172,                0.80779,                0.87137,                0.58406,                 1.1236,                 1.1088,                 1.7767,               0.004753,               0.004753,               0.004753
                     55,                 1.3306,                  1.238,                 1.9246,                0.90866,                0.82675,                0.90537,                0.63015,                 1.1067,                 1.0042,                 1.7481,               0.004654,               0.004654,               0.004654
                     56,                 1.3073,                  1.217,                 1.8725,                0.87683,                0.82825,                0.89321,                 0.5823,                 1.2143,                 1.0451,                 1.8567,               0.004555,               0.004555,               0.004555
                     57,                 1.2703,                 1.1844,                 1.8707,                0.83835,                0.80609,                0.88401,                0.59934,                 1.1631,                 1.0112,                 1.8056,               0.004456,               0.004456,               0.004456
                     58,                 1.2533,                  1.161,                 1.8427,                0.88145,                0.88566,                0.92033,                0.64876,                 1.0836,                 0.9153,                 1.7253,               0.004357,               0.004357,               0.004357
                     59,                 1.2832,                 1.1639,                 1.8489,                0.85201,                 0.8144,                0.89412,                0.59592,                  1.157,                 1.0128,                 1.8105,               0.004258,               0.004258,               0.004258
                     60,                 1.2318,                 1.1159,                 1.8331,                0.90043,                0.87675,                0.92187,                0.65941,                 1.0353,                0.91843,                 1.6927,               0.004159,               0.004159,               0.004159
                     61,                 1.2284,                 1.1705,                 1.8178,                0.88522,                0.85042,                0.91127,                0.64302,                 1.0701,                0.96037,                 1.7199,                0.00406,                0.00406,                0.00406
                     62,                 1.2608,                  1.153,                 1.8861,                0.88903,                0.86981,                0.91945,                0.64838,                 1.0684,                0.90515,                 1.7398,               0.003961,               0.003961,               0.003961
                     63,                 1.2657,                 1.1875,                 1.8538,                0.89236,                0.84973,                0.91407,                0.66496,                 1.0026,                0.88443,                 1.6567,               0.003862,               0.003862,               0.003862
                     64,                 1.2483,                 1.1889,                 1.8344,                0.87884,                0.86398,                0.92002,                0.67121,                 1.0194,                0.85167,                 1.6559,               0.003763,               0.003763,               0.003763
                     65,                 1.1943,                 1.1005,                  1.794,                0.89817,                0.87258,                 0.9159,                0.65794,                 1.0752,                0.91042,                 1.6932,               0.003664,               0.003664,               0.003664
                     66,                 1.2359,                 1.1082,                 1.8061,                0.86668,                0.87535,                0.89819,                0.63636,                 1.0523,                 0.9548,                 1.7021,               0.003565,               0.003565,               0.003565
                     67,                 1.2269,                 1.1105,                 1.8156,                0.88992,                0.88643,                0.92749,                0.66957,                 1.0336,                0.87682,                 1.6856,               0.003466,               0.003466,               0.003466
                     68,                 1.1813,                 1.0814,                 1.7821,                0.84187,                0.84765,                0.89923,                0.62081,                 1.0968,                0.95479,                 1.7564,               0.003367,               0.003367,               0.003367
                     69,                 1.2332,                 1.1065,                 1.8275,                0.91684,                0.85042,                0.93508,                0.69243,                0.95978,                0.81738,                 1.6172,               0.003268,               0.003268,               0.003268
                     70,                 1.2091,                   1.12,                  1.785,                0.93061,                0.85442,                0.93108,                0.67739,                 1.0461,                0.85466,                 1.6748,               0.003169,               0.003169,               0.003169
                     71,                 1.2061,                 1.0896,                 1.7926,                0.90324,                0.83934,                0.92443,                0.67113,                0.99836,                0.87473,                 1.6357,                0.00307,                0.00307,                0.00307
                     72,                  1.137,                 1.0551,                  1.746,                0.89653,                0.88811,                0.92859,                0.69246,                 0.9408,                0.82354,                 1.5771,               0.002971,               0.002971,               0.002971
                     73,                 1.1609,                 1.0408,                 1.7522,                0.94506,                0.85765,                0.93909,                0.68328,                 1.0036,                0.80748,                  1.639,               0.002872,               0.002872,               0.002872
                     74,                  1.182,                 1.0568,                 1.7891,                0.95482,                0.87535,                0.94279,                0.69894,                 0.9699,                0.76557,                  1.596,               0.002773,               0.002773,               0.002773
                     75,                 1.1638,                 1.0652,                 1.7637,                0.93005,                0.84709,                0.93553,                0.69162,                0.97643,                0.79941,                 1.6187,               0.002674,               0.002674,               0.002674
                     76,                 1.1999,                 1.0764,                 1.7855,                0.85923,                0.87924,                0.92519,                0.66642,                0.98921,                0.85695,                 1.6206,               0.002575,               0.002575,               0.002575
                     77,                 1.1629,                 1.0736,                 1.7658,                0.95803,                0.86981,                0.94693,                0.71621,                0.93907,                0.77554,                 1.5741,               0.002476,               0.002476,               0.002476
                     78,                 1.1663,                  1.061,                 1.7569,                0.93297,                0.88674,                0.94039,                0.71435,                0.93397,                0.80806,                 1.5751,               0.002377,               0.002377,               0.002377
                     79,                 1.1276,                 1.0555,                 1.7306,                 0.9226,                0.89151,                0.93877,                0.70834,                0.91599,                0.75671,                 1.5559,               0.002278,               0.002278,               0.002278
                     80,                 1.1609,                 1.0642,                 1.7351,                0.91784,                0.86648,                0.94201,                0.70415,                0.93926,                0.77185,                 1.5793,               0.002179,               0.002179,               0.002179
                     81,                 1.1424,                 1.0317,                 1.7294,                0.91243,                0.90305,                0.94514,                0.72427,                 0.9004,                0.72914,                 1.5388,                0.00208,                0.00208,                0.00208
                     82,                  1.103,                 1.0153,                 1.7125,                0.93102,                0.89727,                0.94835,                0.72756,                0.91765,                0.72458,                 1.5507,               0.001981,               0.001981,               0.001981
                     83,                 1.1023,                0.99774,                 1.6997,                0.90646,                 0.8892,                0.94163,                0.70921,                0.92656,                0.76307,                 1.5564,               0.001882,               0.001882,               0.001882
                     84,                 1.1543,                 1.0137,                 1.7506,                0.92201,                0.88366,                 0.9446,                0.72163,                0.90144,                0.73519,                 1.5239,               0.001783,               0.001783,               0.001783
                     85,                 1.1324,                0.99479,                  1.703,                 0.8842,                0.90946,                0.94197,                0.73082,                0.87735,                0.74606,                 1.5081,               0.001684,               0.001684,               0.001684
                     86,                   1.12,                 1.0053,                 1.7056,                0.90246,                  0.897,                0.94329,                0.73168,                0.88248,                0.74083,                 1.4944,               0.001585,               0.001585,               0.001585
                     87,                 1.0859,                 1.0171,                 1.7012,                0.91534,                0.87535,                0.94385,                0.72306,                0.88669,                0.74145,                 1.5134,               0.001486,               0.001486,               0.001486
                     88,                 1.1125,                0.99876,                  1.693,                0.93842,                0.88651,                0.94698,                0.73141,                0.88018,                0.71935,                 1.5098,               0.001387,               0.001387,               0.001387
                     89,                 1.0914,                 1.0188,                 1.7164,                0.90704,                0.91893,                0.95232,                0.74318,                0.86428,                 0.7097,                 1.4998,               0.001288,               0.001288,               0.001288
                     90,                0.94867,                0.94645,                 1.6175,                0.93818,                0.87812,                0.94006,                0.71543,                0.92205,                0.76251,                  1.534,               0.001189,               0.001189,               0.001189
                     91,                 0.9492,                 0.8275,                 1.5927,                0.94344,                0.88643,                0.94314,                0.74121,                0.87713,                   0.71,                  1.501,                0.00109,                0.00109,                0.00109
                     92,                0.93785,                0.81963,                 1.6016,                0.93747,                0.87219,                0.95056,                0.74194,                0.88252,                0.70983,                 1.5072,               0.000991,               0.000991,               0.000991
                     93,                0.92882,                0.77866,                 1.5867,                0.91478,                0.89206,                0.95309,                0.74205,                0.85794,                0.71276,                 1.4866,               0.000892,               0.000892,               0.000892
                     94,                0.90108,                0.75745,                 1.5472,                0.90701,                0.92244,                0.95667,                0.75215,                0.83197,                0.68199,                 1.4577,               0.000793,               0.000793,               0.000793
                     95,                0.90564,                0.75669,                 1.5467,                0.94205,                0.90305,                0.95925,                0.75083,                 0.8277,                0.68388,                 1.4569,               0.000694,               0.000694,               0.000694
                     96,                0.86418,                0.73636,                  1.526,                0.91521,                0.92687,                0.96055,                0.76571,                0.80853,                0.65175,                 1.4363,               0.000595,               0.000595,               0.000595
                     97,                0.88742,                0.74289,                 1.5333,                 0.9158,                0.93393,                0.96102,                0.76516,                0.80501,                0.64139,                 1.4288,               0.000496,               0.000496,               0.000496
                     98,                0.87276,                0.75053,                   1.51,                0.91047,                0.93629,                0.96203,                0.76422,                0.80408,                0.64728,                 1.4257,               0.000397,               0.000397,               0.000397
                     99,                 0.8926,                0.74424,                 1.5413,                0.92167,                 0.9169,                0.96246,                0.76738,                0.80678,                0.65315,                 1.4266,               0.000298,               0.000298,               0.000298
