                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0345,                 3.5905,                 4.3052,                0.00412,                0.96262,                0.03059,                0.01067,                 2.7823,                 3.5052,                   4.14,                 0.0892,                 0.0012,                 0.0012
                      1,                 3.0211,                 3.5048,                 4.2764,                0.00416,                0.96262,                 0.0314,                 0.0118,                 2.7696,                 3.5033,                 4.1243,               0.077418,              0.0024175,              0.0024175
                      2,                 3.0212,                 3.4482,                 4.2285,                0.00417,                0.96262,                0.04752,                0.01674,                 2.7558,                 3.4943,                 4.1081,               0.065549,              0.0035492,              0.0035492
                      3,                 3.0367,                 3.4208,                  4.168,                0.00418,                0.96262,                0.04819,                0.01687,                 2.7465,                 3.4941,                 4.0934,               0.053595,              0.0045951,              0.0045951
                      4,                 2.9926,                  3.392,                 4.1504,                0.00418,                0.96262,                0.06796,                0.02168,                 2.7408,                 3.4876,                 4.0829,               0.041555,              0.0055552,              0.0055552
                      5,                  3.058,                 3.3185,                 4.1196,                0.00419,                0.96262,                0.12147,                0.03674,                 2.7294,                 3.4694,                 4.0681,               0.029429,              0.0064295,              0.0064295
                      6,                  2.992,                 3.2548,                 4.0678,                0.00412,                0.96262,                0.08048,                0.02727,                   2.72,                 3.4448,                  4.059,               0.017218,               0.007218,               0.007218
                      7,                 2.9807,                 3.2031,                 4.0349,                0.00399,                0.96262,                0.05479,                0.02062,                 2.7039,                 3.3869,                  4.051,                0.00769,                0.00769,                0.00769
                      8,                 2.8532,                 3.0992,                 3.9404,                0.00395,                0.96262,                0.04204,                0.01502,                 2.6966,                 3.3655,                 4.0431,                0.00769,                0.00769,                0.00769
                      9,                 2.8885,                 2.9765,                 3.8533,                0.02227,                0.04206,                0.01788,                0.00648,                 2.6702,                 3.5044,                 3.9507,                0.00736,                0.00736,                0.00736
                     10,                 2.8797,                   3.01,                 3.8201,                0.17652,                0.13551,                0.11135,                0.02742,                 2.6334,                 3.3575,                 3.8861,                0.00703,                0.00703,                0.00703
                     11,                 2.8482,                 2.8745,                 3.7192,                0.05025,                0.15421,                0.03482,                 0.0117,                 2.7087,                 3.3641,                 4.0119,                 0.0067,                 0.0067,                 0.0067
                     12,                 2.7289,                 2.7273,                 3.6372,                0.08337,                 0.1215,                0.04668,                0.01391,                 2.6147,                 3.4615,                 3.9029,                0.00637,                0.00637,                0.00637
                     13,                 2.7663,                 2.7425,                 3.5671,                0.10083,                0.21028,                0.06509,                0.01781,                 2.7044,                 10.258,                  4.322,                0.00604,                0.00604,                0.00604
                     14,                 2.6531,                 2.5751,                 3.4527,                0.07831,                0.24766,                0.04893,                0.01204,                 3.0368,                 17.807,                  5.608,                0.00571,                0.00571,                0.00571
                     15,                 2.6709,                 2.5853,                 3.4643,                0.08754,                0.20561,                0.05214,                0.01367,                 2.8665,                  3.972,                 4.8845,                0.00538,                0.00538,                0.00538
                     16,                 2.6357,                 2.5459,                 3.3995,                0.18648,                 0.4486,                0.19011,                0.06131,                 2.4846,                 3.6293,                  3.543,                0.00505,                0.00505,                0.00505
                     17,                 2.5489,                 2.4608,                  3.321,                0.21975,                0.41853,                0.19564,                0.05435,                 2.5835,                 7.4703,                 3.8244,                0.00472,                0.00472,                0.00472
                     18,                 2.5742,                 2.3806,                 3.2942,                0.12954,                0.59346,                0.17687,                0.05078,                 2.5952,                  17.83,                 4.2721,                0.00439,                0.00439,                0.00439
                     19,                 2.5715,                  2.335,                 3.2633,                0.24821,                0.36449,                0.22764,                0.06739,                 2.3984,                 7.7066,                 3.6342,                0.00406,                0.00406,                0.00406
                     20,                 2.2462,                 2.7292,                 3.1979,                0.27241,                 0.3972,                0.26599,                0.08796,                 2.4523,                 4.8721,                 3.4354,                0.00373,                0.00373,                0.00373
                     21,                 2.1667,                 2.5021,                 3.1083,                0.30182,                0.42018,                0.26598,                0.07764,                 2.5384,                 3.5081,                 3.6968,                 0.0034,                 0.0034,                 0.0034
                     22,                 2.1115,                 2.4047,                  3.115,                 0.4694,                0.40654,                0.39843,                0.13605,                 2.2604,                 3.0587,                 3.1904,                0.00307,                0.00307,                0.00307
                     23,                 2.1099,                 2.3525,                 3.0287,                 0.4137,                0.42056,                  0.376,                0.13534,                 2.2558,                 3.7723,                 3.2539,                0.00274,                0.00274,                0.00274
                     24,                 2.1416,                 2.2499,                 3.0548,                0.42948,                0.55228,                0.46051,                0.20758,                  2.068,                 2.4903,                 2.9847,                0.00241,                0.00241,                0.00241
                     25,                 2.0397,                 2.2223,                 3.0097,                 0.4463,                0.56498,                0.42228,                0.18749,                 2.0244,                 2.2724,                 2.9861,                0.00208,                0.00208,                0.00208
                     26,                 2.0414,                 2.1414,                 2.9729,                0.46569,                0.54168,                0.48861,                0.22454,                 2.0711,                 2.1826,                 2.9436,                0.00175,                0.00175,                0.00175
                     27,                 1.9829,                 2.1742,                 3.0107,                 0.2865,                0.41121,                0.26364,                 0.0922,                 2.2408,                  2.484,                 3.1393,                0.00142,                0.00142,                0.00142
                     28,                 1.9983,                  2.089,                  2.925,                 0.2835,                0.36449,                0.28455,                0.10821,                 2.2098,                 2.4706,                 3.1199,                0.00109,                0.00109,                0.00109
                     29,                 1.9539,                 2.0578,                 2.9155,                0.44506,                0.56542,                0.48593,                0.20328,                 2.0705,                 2.1844,                 2.9442,                0.00076,                0.00076,                0.00076
